RepositoryAge,RepositoyCreatedAt,PullRequestCount,ReleasesCount,LastUpdate,PrimaryLanguage,IssuesCount,ClosedIssuesCount,OpenIssuesCount,IssuesResolved,RepositoryUrl
7,12/24/2014 17:49:19,15354,0,-175.83086293666668,JavaScript,15526,15404,122,0.9921422130619606,https://github.com/freeCodeCamp/freeCodeCamp
2,03/26/2019 07:31:14,1020,0,-178.48085724333333,Rust,0,0,0,0,https://github.com/996icu/996.ICU
8,10/11/2013 06:50:37,3533,0,-178.99752389666668,,594,574,20,0.9663299663299664,https://github.com/EbookFoundation/free-programming-books
5,06/06/2016 02:34:12,250,0,-163.71419055833334,,277,242,35,0.8736462093862816,https://github.com/jwasham/coding-interview-university
8,07/29/2013 03:24:51,1046,210,-159.18085721833333,JavaScript,9555,9234,321,0.9664050235478807,https://github.com/vuejs/vue
8,05/24/2013 16:15:54,7772,96,-177.46419053,JavaScript,10668,10062,606,0.9431946006749157,https://github.com/facebook/react
4,03/15/2017 13:45:52,62,4,-166.047523855,,532,464,68,0.8721804511278195,https://github.com/kamranahmedse/developer-roadmap
7,07/11/2014 13:42:37,552,0,-127.18085718166667,Shell,284,264,20,0.9295774647887324,https://github.com/sindresorhus/awesome
6,11/07/2015 01:19:20,13159,145,-152.01419050666667,C++,32691,29447,3244,0.900767795417699,https://github.com/tensorflow/tensorflow
5,03/20/2016 23:49:42,1192,0,-129.18085716666667,Python,287,283,4,0.9860627177700348,https://github.com/public-apis/public-apis
10,07/29/2011 21:19:00,7118,72,-68.114190495,JavaScript,20753,20443,310,0.9850624006167783,https://github.com/twbs/bootstrap
8,11/16/2013 02:37:24,350,0,-91.11419048833334,,878,799,79,0.9100227790432802,https://github.com/getify/You-Dont-Know-JS
4,02/26/2017 16:15:28,188,0,-177.16419048166668,Python,174,55,119,0.3160919540229885,https://github.com/donnemartin/system-design-primer
3,02/13/2018 14:56:24,375,0,-177.214190475,Java,506,430,76,0.849802371541502,https://github.com/CyC2018/CS-Notes
12,08/28/2009 18:15:37,2490,0,-176.21419047,Shell,3883,3673,210,0.9459181045583311,https://github.com/ohmyzsh/ohmyzsh
6,03/06/2015 22:54:58,21627,0,-107.29752379666667,Dart,58715,49346,9369,0.8404325981435748,https://github.com/flutter/flutter
11,11/08/2010 20:17:14,1445,0,-97.280857125,,0,0,0,0,https://github.com/github/gitignore
6,09/03/2015 20:23:38,7388,44,-133.94752378333334,TypeScript,118767,112862,5905,0.9502808019062534,https://github.com/microsoft/vscode
3,03/24/2018 07:47:04,206,0,-148.14752377666667,JavaScript,235,152,83,0.6468085106382979,https://github.com/trekhleb/javascript-algorithms
10,09/04/2011 22:48:12,9,0,-173.06419043666668,C,0,0,0,0,https://github.com/torvalds/linux
3,05/09/2018 12:03:18,84,0,-148.81419043166667,,433,307,126,0.7090069284064665,https://github.com/danistefanovic/build-your-own-x
5,07/16/2016 09:44:01,1585,0,-167.34752375833332,Python,735,727,8,0.9891156462585035,https://github.com/TheAlgorithms/Python
9,11/01/2012 23:13:50,765,0,-168.03085708666666,JavaScript,1100,1018,82,0.9254545454545454,https://github.com/airbnb/javascript
3,05/07/2018 13:27:00,499,0,-178.11419041333335,Java,654,600,54,0.9174311926605505,https://github.com/Snailclimb/JavaGuide
3,03/01/2018 16:05:52,12,0,-153.68085707166668,Python,511,87,424,0.17025440313111545,https://github.com/jackfrued/Python-100-Days
7,06/27/2014 21:00:06,525,0,-176.43085706666668,Python,195,191,4,0.9794871794871794,https://github.com/vinta/awesome-python
11,10/31/2010 14:35:07,1528,340,-139.93085706166667,Python,24102,20343,3759,0.8440378391834703,https://github.com/ytdl-org/youtube-dl
11,09/27/2010 17:22:42,438,169,-152.11419038833333,JavaScript,2092,2089,3,0.998565965583174,https://github.com/d3/d3
6,01/09/2015 18:10:16,621,162,41.96914295,JavaScript,21697,20106,1591,0.9266718901230585,https://github.com/facebook/react-native
8,04/12/2013 01:47:36,12855,803,-69.18085704333333,C++,15618,14462,1156,0.92598284031246,https://github.com/electron/electron
1,02/19/2020 09:01:23,202,0,-165.11419037,,265,240,25,0.9056603773584906,https://github.com/labuladong/fucking-algorithm
7,05/04/2014 00:18:39,191,0,-171.43085703,,542,530,12,0.977859778597786,https://github.com/ossu/computer-science
6,05/20/2015 15:11:03,303,0,-172.34752368833333,,185,86,99,0.4648648648648649,https://github.com/jlevy/the-art-of-command-line
5,07/17/2016 14:55:11,1886,81,-106.29752367833333,JavaScript,7144,6206,938,0.8687010078387458,https://github.com/facebook/create-react-app
7,08/19/2014 04:33:40,0,0,-166.34752367166666,Go,45769,38684,7085,0.845200900172606,https://github.com/golang/go
7,08/18/2014 22:30:27,398,26,-124.697523665,JavaScript,3116,2925,191,0.9387034659820283,https://github.com/axios/axios
8,11/04/2013 01:59:19,269,3,-127.78085699166667,,0,0,0,0,https://github.com/justjavac/free-programming-books-zh_CN
4,11/29/2017 17:35:03,749,4,-78.630856985,JavaScript,275,274,1,0.9963636363636363,https://github.com/30-seconds/30-seconds-of-code
7,11/26/2014 19:57:11,3229,246,-178.83085697833334,JavaScript,13560,12356,1204,0.9112094395280236,https://github.com/nodejs/node
7,06/06/2014 22:56:04,48935,485,-170.13085697333332,Go,39127,37402,1725,0.9559127967899405,https://github.com/kubernetes/kubernetes
3,05/15/2018 01:34:26,5291,142,-160.96419030166666,Rust,4771,4184,587,0.876964996856005,https://github.com/denoland/deno
4,08/11/2017 18:38:22,2173,54,-167.964190295,C++,8478,7161,1317,0.8446567586694975,https://github.com/microsoft/terminal
