Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
3,5,1,1,0,63193,alibaba/cobar
2.5,3,1,0,0,1607,yipianfengye/android-adDialog
3,5,1,0,0,4228,danylovolokh/VideoPlayerManager
2,4,1,0,0,9296,google/volley
6,8,1,3,0,6556,liujingxing/rxhttp
5,6,1,1,0,7777,JavaNoober/BackgroundLibrary
3,3,1,1,0,2088,gabrielemariotti/RecyclerViewItemAnimators
3,3,1,0,0,1896,huburt-Hu/NewbieGuide
2,2,1,0,0,964,hongyangAndroid/Highlight
3,6,1,1,0,73638,qunarcorp/bistoury
1,3,1,1,0,1306,WritingMinds/ffmpeg-android-java
4,6,1,0,0,4158,eleme/UETool
0,0,1,0,NaN,15894,zwwill/yanxuan-weex-demo
3,6,1,0,0,23679,requery/requery
5,6,1,1,0.41666667,1454,keyboardsurfer/Crouton
2,2,1,0,0,7782,JeremyLiao/LiveEventBus
3,6,1,0,0,948,sofastack/sofa-jarslink
2,2,1,0,0,563,jgilfelt/android-viewbadger
3,4,1,0,0,153889,undertow-io/undertow
5,6,1,1,0,42988,micrometer-metrics/micrometer
3,6,1,0,0,14821,alibaba/jetcache
4,6,1,0,0.16666667,236461,apache/incubator-doris
2,3,1,0,0,6571,crazyandcoder/citypicker
8.5,9.5,1,0.5,0.404411765,480,anggrayudi/android-hidden-api
3,3,1,0,0,11670,zhou-you/RxEasyHttp
6,6,2,1,0,28801,guoguibing/librec
4,5,1,1,0,1975,pedrovgs/DraggablePanel
2,2,2,0,0,588,xmuSistone/ViewpagerTransition
5.5,7.5,2,1,0,1241,facebookarchive/react-native-fbsdk
3,3,1,0,0,1425,lovetuzitong/MultiImageSelector
3,5.5,1.5,0,0,1481,KingJA/LoadSir
1,1,1,0,0,99243,fishercoder1534/Leetcode
1,2,1,0,0,13579,uber/NullAway
4.5,6.5,2,1,0,941,dmytrodanylyk/android-process-button
2,2,1,1,0,1958,woxingxiao/BubbleSeekBar
4,5,2,0,0,14955,stephanenicolas/robospice
2,4,1,0,0,1010,Marswin/MarsDaemon
3,4.5,1,0,0,11130,Polidea/RxAndroidBle
4,6,1,1,0,19740,spockframework/spock
5,6,1,0,0,11959,zlt2000/microservices-platform
3,5,1,1,0,5310,burhanrashid52/PhotoEditor
4,7,1,0,0,14573,PowerJob/PowerJob
3,4,1,0,0,2133,lenve/JavaEETest
4,4,1,1,0.083333335,10262,Red5/red5-server
3,4,1,0,0,66589,immutables/immutables
4.5,4.5,1,1,0,781,jd-alexander/LikeButton
3.5,4,1,0,0,130,jasonross/Nuwa
3,3,1,0,0,1562,android-notes/Cockroach
3,4,1,0,0,32159,aragozin/jvm-tools
1,2,1,0,0,3018,jbloch/effective-java-3e-source-code
2,4,1,8,0.50000002,6075,yui/yuicompressor
2,5,1,3,0.5,35622,didi/LogiKM
6,8,2,4,0.5,193571,h2database/h2database
2,3,1,0,0,37084,mplushnikov/lombok-intellij-plugin
2,4,1,0,0,1295,zaaach/CityPicker
5,6,2,3.5,0.6375,1692,udacity/Sunshine-Version-2
4,7,1,0,0.041666668,16730,zendesk/maxwell
1,1,1,1,0,1649,kunal-kushwaha/DSA-Bootcamp-Java
3,7,1,0,0,13801,WeiYe-Jing/datax-web
3,5,1,1,0,1835,CheckChe0803/flink-recommandSystem-demo
1,2,1,0,0,3724,java8/Java8InAction
1,2,1,0,0,4709,MindorksOpenSource/PRDownloader
1,1,1,0,0,21364,mxdldev/android-mvp-mvvm-flytour
3,3.5,2,1,0,2078,florent37/ShapeOfView
3,4,1,0,0.0625,971,yarolegovich/SlidingRootNav
4,6,1,1,0,3509,KeepSafe/dexcount-gradle-plugin
4,5,1,0,0,249042,javaee/jersey
4,7,1,0,0.44444445,1083,yusugomori/DeepLearning
2,3,1,0,0,6009,trojan-gfw/igniter
3,4,1,1,0,38604,ZieIony/Carbon
3,4,1,0,0,33031,jacoco/jacoco
4,6,1,1,0,970,edmodo/cropper
5,6,2,1,0,1197,ManuelPeinado/FadingActionBar
3,4,1,0,0,5812,googlesamples/android-vision
