ReleasesCount,Stars,Age,Cbo,Dit,Lcom2,Loc,RepositoryName
0,137739,3,0,0,0,,CyC2018/CS-Notes
0,110128,3,0,0,0,,Snailclimb/JavaGuide
0,69915,2591,3,1,0,,iluwatar/java-design-patterns
0,57000,3,0,0,0,,doocs/advanced-java
106,56997,9,4,1,0,,spring-projects/spring-boot
56,56421,4234,6.0,2.0,1.0,,elastic/elasticsearch
0,53775,4,1,1,0,,kdn251/interviews
1,52185,3,3,1,0,,macrozheng/mall
225,45131,8,1,1,0,,ReactiveX/RxJava
210,44186,11,3,1,0,,spring-projects/spring-framework
32,42232,7,2,1,0,,google/guava
0,40575,1884,1.0,1.0,1.0,,TheAlgorithms/Java
0,38646,11,3,1,0,,square/retrofit
0,38373,2,0,0,0,,kon9chunkit/GitHub-Chinese-Top-Charts
38,36090,9,4,1,0,,apache/dubbo
44,33888,7,5,1,0,,PhilJay/MPAndroidChart
36,31709,5,4,1,0,,airbnb/lottie-android
36,31664,8,4,1,0,,bumptech/glide
116,29776,5,2,1,0,,Blankj/AndroidUtilCode
14,28643,2,5.0,1.0,1.0,,NationalSecurityAgency/ghidra
0,28360,1,1,1,0,,geekxh/hello-algorithm
27,28318,10,4,2,"0,22222222",,zxing/zxing
0,27480,11,3,1,0,,netty/netty
0,27392,8,3.0,1.0,0.0,,eugenp/tutorials
14,27103,3100,3.0,1.0,0.0,,skylot/jadx
37,27015,3,3,1,0,,alibaba/arthas
0,26390,1365,1.0,1.0,0.0,,crossoverJie/JCSprout
0,26176,5,4,1,0,,ityouknow/spring-boot-examples
0,25734,8,2,1,0,,JakeWharton/butterknife
32,25373,5,4,1,0,,apolloconfig/apollo
49,25380,4,4,1,"0,3875",,proxyee-down-org/proxyee-down
16,24739,3,4,1,0,,jeecgboot/jeecg-boot
42,24477,3601,5.0,2.0,0.0,,alibaba/druid
82,23771,3601,2.0,1.0,0.0,,alibaba/fastjson
5,23593,3345,3.0,1.0,0.0,,greenrobot/EventBus
0,23224,4,4,1,0,,xkcoding/spring-boot-demo
8,22955,1563,3.0,1.0,0.0,,scwang90/SmartRefreshLayout
0,22232,3,2,1,0,,lenve/vhr
191,22229,5,3,1,0,,CymChad/BaseRecyclerViewAdapterHelper
135,21992,6,5,1,0,,dbeaver/dbeaver
79,21912,9,2,1,0,,Netflix/Hystrix
0,21560,3,4,1,0,,wuyouzhuguli/SpringAll
69,21568,8,4,1,0,,SeleniumHQ/selenium
0,21485,3,0,0,0,,hollischuang/toBeTopJavaer
0,21476,1094,3.0,1.0,0.0,,qiurunze123/miaosha
0,21075,10,5,1,0,,signalapp/Signal-Android
1,21081,1314,5.0,1.0,1.0,,alibaba/easyexcel
31,20767,989,5.0,1.0,3.0,,seata/seata
21,20339,8,4,1,0,,alibaba/canal
99,20294,7,3,1,0,,dromara/hutool
25,19999,4,5,1,0,,alibaba/spring-cloud-alibaba
1,20003,6,2,1,0,,google/gson
0,19842,3681,4.0,1.0,0.0,,apache/kafka
72,19699,1271,5.0,1.0,0.0,,halo-dev/halo
18,19498,2581,1.0,1.0,0.0,,ReactiveX/RxAndroid
41,19224,3,3,1,0,,alibaba/nacos
30,19315,6,3,1,0,,xuxueli/xxl-job
8,18860,9,4,1,"0,16666667",,libgdx/libgdx
13,18203,7,5,1,0,,google/ExoPlayer
7,18108,8,"3,5",1,0,,square/picasso
4,17890,3,2,1,0,,didi/DoraemonKit
5,17907,9,3,1,0,,Baseflow/PhotoView
68,17749,8,3,1,0,,DrKLO/Telegram
124,17815,3947,4.0,2.0,0.0,,jenkinsci/jenkins
46,17705,2136,4.0,1.0,0.0,,apache/skywalking
99,17304,7,4,1,0,,redisson/redisson
116,17303,2649,4.0,1.0,0.0,,bazelbuild/bazel
18,17287,1257,3.0,1.0,0.0,,alibaba/Sentinel
0,17096,2654,5.0,1.0,0.0,,apache/flink
0,16844,3577,3.0,1.0,0.5,,nostra13/Android-Universal-Image-Loader
44,16656,2386,5.0,1.0,0.0,,facebook/fresco
26,16640,1764,2.0,1.0,0.0,,CarGuo/GSYVideoPlayer
6,16325,1003,4.0,1.0,0.0,,elunez/eladmin
8,16312,1270,3.0,1.0,1.0,,linlinjava/litemall
34,16190,3132,2.0,1.0,0.0,,mybatis/mybatis-3
0,16083,1804,3.0,1.0,0.0,,shuzheng/zheng
42,16007,1832,3.0,1.0,0.0,,Tencent/tinker
0,15934,1618,4.0,1.0,0.0,,forezp/SpringCloudLearning
0,15887,3203,4.0,1.0,1.0,,dianping/cat
32,15882,2068,4.0,1.0,1.0,,oracle/graal
0,15718,2896,3.0,1.0,0.0,,brettwooldridge/HikariCP
3,15311,1747,3.0,1.0,1.0,,apache/rocketmq
0,15144,3214,2.0,1.0,0.0,,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
0,15004,2737,1.0,1.0,0.0,,winterbe/java8-tutorial
0,14949,2581,4.0,1.0,1.0,,android10/Android-CleanArchitecture
107,14923,2201,5.0,1.0,1.0,,TeamNewPipe/NewPipe
62,14697,3385,5.0,1.0,1.0,,openzipkin/zipkin
44,14516,2064,5.0,1.0,0.0,,apache/shardingsphere
0,14496,1679,3.0,1.0,0.0,,JeffLi1993/springboot-learning-example
3,14448,1689,2.5,1.0,1.0,,lottie-react-native/lottie-react-native
12,14072,3278,3.0,1.0,0.0,,LMAX-Exchange/disruptor
0,14011,2795,5.0,2.0,0.0,,hdodenhof/CircleImageView
0,13581,2380,2.0,1.0,0.0,,lgvalle/Material-Animations
0,13537,1848,4.0,1.0,0.0,,dyc87112/SpringBoot-Learning
16,13413,1733,2.0,1.0,0.0,,alibaba/ARouter
35,13155,1605,3.0,1.0,0.0,,Tencent/QMUI_Android
16,12982,2368,6.0,1.0,0.0,,orhanobut/logger
0,12912,2450,2.0,1.0,0.0,,Bigkoo/Android-PickerView
41,12798,1742,4.0,1.0,1.0,,material-components/material-components-android
6,12646,5,1.0,1.0,1.0,,Curzibn/Luban
139,12594,10,4.5,1.0,1.0,,medcl/elasticsearch-analysis-ik
14,12458,9,4.0,2.0,3.0,,iBotPeaches/Apktool
8,12421,10,4.0,1.0,1.0,,greenrobot/greenDAO
0,12377,9,6.0,1.0,1.0,,prestodb/presto
55,12379,7,2.0,1.0,0.0,,Konloch/bytecode-viewer
128,11405,4,2.0,1.0,0.0,,Anuken/Mindustry
0,12333,10,4.0,1.0,1.0,,eclipse-vertx/vert.x
13,12349,6,3.0,1.0,0.0,,facebook/stetho
49,12224,4,2.0,2.0,0.0,,android-hacker/VirtualXposed
0,12169,8,7.0,2.0,4.0,,eclipse/deeplearning4j
179,12136,9,2.0,1.0,0.0,,mockito/mockito
43,12106,2,2.0,1.0,6.0,,justauth/JustAuth
18,12120,7,2.0,1.0,0.0,,daimajia/AndroidSwipeLayout
15,12076,4,5.0,1.0,0.0,,zhihu/Matisse
33,12033,11,2.0,1.0,0.0,,arduino/Arduino
0,11914,7,5.0,1.0,0.0,,apache/hadoop
9,11915,7,2.0,2.0,0.0,,daimajia/AndroidViewAnimations
0,11783,3,4,1,0,,YunaiV/SpringBoot-Labs
