RepositoryAge,RepositoyCreatedAt,ReleasesCount,PrimaryLanguage,RepositoryUrl,RepositoryClone,RepositoryOwner,StarsCount,SourceLinesOfCode
3,02/13/2018 14:56:24,0,Java,https://github.com/CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes.git,CyC2018/CS-Notes,137739,
3,05/07/2018 13:27:00,0,Java,https://github.com/Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide.git,Snailclimb/JavaGuide,110128,
3,12/06/2018 08:01:22,0,Java,https://github.com/MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation.git,MisterBooo/LeetCodeAnimation,66725,
3,10/06/2018 11:38:30,0,Java,https://github.com/doocs/advanced-java,https://github.com/doocs/advanced-java.git,doocs/advanced-java,57000,
9,10/19/2012 15:02:57,106,Java,https://github.com/spring-projects/spring-boot,https://github.com/spring-projects/spring-boot.git,spring-projects/spring-boot,56997,
4,02/14/2017 18:19:25,0,Java,https://github.com/kdn251/interviews,https://github.com/kdn251/interviews.git,kdn251/interviews,53775,
3,04/04/2018 01:11:44,1,Java,https://github.com/macrozheng/mall,https://github.com/macrozheng/mall.git,macrozheng/mall,52185,
8,01/08/2013 20:11:48,225,Java,https://github.com/ReactiveX/RxJava,https://github.com/ReactiveX/RxJava.git,ReactiveX/RxJava,45131,
11,12/08/2010 04:04:45,210,Java,https://github.com/spring-projects/spring-framework,https://github.com/spring-projects/spring-framework.git,spring-projects/spring-framework,44186,
7,05/29/2014 16:23:17,32,Java,https://github.com/google/guava,https://github.com/google/guava.git,google/guava,42232,
11,09/06/2010 21:39:43,0,Java,https://github.com/square/retrofit,https://github.com/square/retrofit.git,square/retrofit,38646,
2,09/05/2019 03:01:56,0,Java,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts.git,kon9chunkit/GitHub-Chinese-Top-Charts,38373,
9,06/19/2012 07:56:02,38,Java,https://github.com/apache/dubbo,https://github.com/apache/dubbo.git,apache/dubbo,36090,
7,04/25/2014 14:29:47,44,Java,https://github.com/PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart.git,PhilJay/MPAndroidChart,33888,
5,10/06/2016 22:42:42,36,Java,https://github.com/airbnb/lottie-android,https://github.com/airbnb/lottie-android.git,airbnb/lottie-android,31709,
8,07/08/2013 22:52:33,36,Java,https://github.com/bumptech/glide,https://github.com/bumptech/glide.git,bumptech/glide,31664,
5,07/30/2016 18:18:32,116,Java,https://github.com/Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode.git,Blankj/AndroidUtilCode,29776,
2,03/01/2019 03:27:48,14,Java,https://github.com/NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra.git,NationalSecurityAgency/ghidra,28643,
1,05/29/2020 05:47:09,0,Java,https://github.com/geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm.git,geekxh/hello-algorithm,28360,
10,10/12/2011 14:07:27,27,Java,https://github.com/zxing/zxing,https://github.com/zxing/zxing.git,zxing/zxing,28318,
11,11/09/2010 09:22:21,0,Java,https://github.com/netty/netty,https://github.com/netty/netty.git,netty/netty,27480,
