file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\view\Day.java,com.ldf.calendar.view.Day$Anonymous1,newArray/1[int],false,86,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\view\Day.java,com.ldf.calendar.view.Day$Anonymous1,createFromParcel/1[Parcel],false,81,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\test\java\com\ldf\mi\calendar\micalendar\ExampleUnitTest.java,com.ldf.mi.calendar.micalendar.ExampleUnitTest,addition_isCorrect/0,false,12,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\Utils.java,com.ldf.calendar.Utils$Anonymous1,run/0,false,295,1,1,0,1,2,7,9,0,1,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\example\src\main\java\com\hqyxjy\ldf\supercalendar\ThemeDayView.java,com.hqyxjy.ldf.supercalendar.ThemeDayView,"ThemeDayView/2[com.hqyxjy.ldf.supercalendar.Context,int]",true,30,3,2,2,0,1,1,8,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,28,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\example\src\main\java\com\hqyxjy\ldf\supercalendar\ThemeDayView.java,com.hqyxjy.ldf.supercalendar.ThemeDayView,refreshContent/0,false,40,3,3,0,3,4,6,21,0,2,0,6,0,0,0,2,0,0,2,0,2,1,2,0,0,0,18,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\example\src\main\java\com\hqyxjy\ldf\supercalendar\ThemeDayView.java,com.hqyxjy.ldf.supercalendar.ThemeDayView,copy/0,false,61,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\interf\OnSelectDateListener.java,com.ldf.calendar.interf.OnSelectDateListener,onSelectDate/1[com.ldf.calendar.model.CalendarDate],false,10,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\interf\OnSelectDateListener.java,com.ldf.calendar.interf.OnSelectDateListener,onSelectOtherMonth/1[int],false,12,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\SuperCalendar\calendar\src\main\java\com\ldf\calendar\component\CalendarRenderer.java,com.ldf.calendar.component.CalendarRenderer,getFirstDate/0,false,149,3,2,1,1,1,1,5,1,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,8,1,0,false
