file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\toolkit\support\SFunction.java,com.baomidou.mybatisplus.core.toolkit.support.SFunction,interface,2,9,7,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisPlusVersion.java,com.baomidou.mybatisplus.core.MybatisPlusVersion,class,1,3,2,1,9,1,0,13,6,0.0,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,33,7,0,3,2,1,0,0,5,0,5,2,0,0,0,28,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-extension\src\main\java\com\baomidou\mybatisplus\extension\conditions\query\LambdaQueryChainWrapper.java,com.baomidou.mybatisplus.extension.conditions.query.LambdaQueryChainWrapper,class,11,14,3,11,5,3,0,3,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,1,0,1,0,0,1,0,0,1,0,1,22,3,0,0,0,0,3,0,2,0,1,0,0,0,0,19,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\h2\entity\H2UserStrategy.java,com.baomidou.mybatisplus.test.h2.entity.H2UserStrategy,class,9,11,2,9,10,3,0,1,0,0.76666665,0.0,0.0,10,0,10,0,0,0,10,0,0,0,9,1,0,9,0,0,1,0,0,49,1,0,0,0,0,16,1,15,1,9,0,0,0,0,40,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\test\java\com\baomidou\mybatisplus\test\Role.java,com.baomidou.mybatisplus.test.Role,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\mysql\entity\CommonData.java,com.baomidou.mybatisplus.test.mysql.entity.CommonData,class,8,15,7,8,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,1,0,8,0,0,1,0,0,10,0,0,0,0,0,2,1,1,0,8,0,0,0,0,32,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\toolkit\ReflectionKit.java,com.baomidou.mybatisplus.core.toolkit.ReflectionKit,class,9,21,12,9,17,1,0,47,28,0.875,0.0,0.0,8,8,8,0,0,0,9,0,0,0,3,3,0,3,0,0,3,0,23,78,10,2,3,1,2,4,2,15,0,22,2,0,0,7,82,17,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\replaceplaceholder\ReplacePlaceholderTest.java,com.baomidou.mybatisplus.test.replaceplaceholder.ReplacePlaceholderTest,class,6,6,0,6,4,3,0,6,6,0.0,0.0,0.0,4,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2,20,3,0,0,0,0,6,0,1,1,2,1,0,0,1,41,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-extension\src\test\java\com\baomidou\mybatisplus\test\plugins\pagination\optimize\JsqlParserCountOptimizeTest.java,com.baomidou.mybatisplus.test.plugins.pagination.optimize.JsqlParserCountOptimizeTest,class,5,5,0,5,2,1,0,7,0,0.25,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,94,0,5,2,5,0,0,0,0,53,0,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-boot-starter\src\main\java\com\baomidou\mybatisplus\autoconfigure\ConfigurationCustomizer.java,com.baomidou.mybatisplus.autoconfigure.ConfigurationCustomizer,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\conditions\segments\MergeSegments.java,com.baomidou.mybatisplus.core.conditions.segments.MergeSegments,class,10,19,9,10,12,1,0,12,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,0,6,0,0,4,0,2,52,3,0,1,0,0,1,1,15,2,9,2,0,0,0,34,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\mysql\mapper\commons\CommonLogicDataMapper.java,com.baomidou.mybatisplus.test.mysql.mapper.commons.CommonLogicDataMapper,interface,5,8,3,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\h2\issues\genericid\entity\SuperEntity.java,com.baomidou.mybatisplus.test.h2.issues.genericid.entity.SuperEntity,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\h2\fillperformance\mapper\PerformanceModelMapper.java,com.baomidou.mybatisplus.test.h2.fillperformance.mapper.PerformanceModelMapper,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\tenant\Entity.java,com.baomidou.mybatisplus.test.tenant.Entity,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,4,0,0,0,0,18,1,0
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\toolkit\PluginUtils.java,com.baomidou.mybatisplus.core.toolkit.PluginUtils$MPBoundSql,innerclass,5,5,0,5,8,1,0,7,10,0.5625,0.0,0.0,8,0,6,1,0,1,7,0,0,0,2,0,0,2,0,0,2,0,1,30,5,0,0,0,0,5,0,3,0,3,0,0,0,0,16,9,0
