RepositoryName,Age,Stars,ReleasesCount,Cbo,Dit,Lcom2,Loc
CyC2018/CS-Notes,1307,138136,0,,,,0.0
Snailclimb/JavaGuide,1224,110512,0,,,,0.0
iluwatar/java-design-patterns,2591,69915,0,3.0,1.0,0.0,31112.0
doocs/advanced-java,1072,57191,0,,,,0.0
spring-projects/spring-boot,3250,57109,106,4.0,1.0,0.0,298769.0
elastic/elasticsearch,4234,56421,56,6.0,2.0,1.0,1776320.0
kdn251/interviews,1671,53859,0,1.0,1.0,0.0,11708.0
macrozheng/mall,1257,52364,1,3.0,1.0,13.0,100909.0
ReactiveX/RxJava,3169,45265,225,1.0,1.0,0.0,368467.0
spring-projects/spring-framework,3931,44273,210,3.0,1.0,0.0,624047.0
google/guava,2663,42313,32,2.0,1.0,0.0,527939.0
TheAlgorithms/Java,1884,40575,0,1.0,1.0,1.0,12350.0
square/retrofit,4024,38684,0,3.0,1.0,0.0,26475.0
kon9chunkit/GitHub-Chinese-Top-Charts,738,38504,0,,,,0.0
apache/dubbo,3372,36128,38,4.0,1.0,0.0,156640.0
PhilJay/MPAndroidChart,2697,33925,44,5.0,1.0,1.0,21111.0
airbnb/lottie-android,1802,31759,36,4.0,1.0,0.0,15350.0
bumptech/glide,2988,31693,36,4.0,1.0,0.0,58901.0
Blankj/AndroidUtilCode,1870,29811,116,2.0,1.0,0.0,39792.0
NationalSecurityAgency/ghidra,926,28728,15,5.0,1.0,1.0,1523960.0
geekxh/hello-algorithm,471,28509,0,1.0,1.0,0.0,1851.0
zxing/zxing,3623,28355,27,4.0,2.0,1.0,36193.0
netty/netty,3960,27551,0,3.0,1.0,0.0,301606.0
eugenp/tutorials,3058,27465,0,3.0,1.0,0.0,340449.0
skylot/jadx,3100,27103,14,3.0,1.0,0.0,90037.0
alibaba/arthas,1110,27087,37,3.0,1.0,1.0,39432.0
crossoverJie/JCSprout,1365,26390,0,1.0,1.0,0.0,4377.0
ityouknow/spring-boot-examples,1772,26215,0,4.0,1.0,0.0,3798.0
JakeWharton/butterknife,3113,25735,0,2.0,1.0,0.0,7712.0
apolloconfig/apollo,2018,25429,33,4.0,1.0,0.0,42615.0
proxyee-down-org/proxyee-down,1418,25376,49,4.0,1.0,2.0,3392.0
jeecgboot/jeecg-boot,1021,24913,16,4.0,1.0,0.0,29873.0
alibaba/druid,3601,24477,42,5.0,2.0,0.0,305597.0
alibaba/fastjson,3601,23771,82,2.0,1.0,0.0,206554.0
greenrobot/EventBus,3345,23593,5,3.0,1.0,0.0,5734.0
xkcoding/spring-boot-demo,1402,23311,0,4.0,1.0,0.0,7163.0
scwang90/SmartRefreshLayout,1563,22955,8,3.0,1.0,0.0,20455.0
lenve/vhr,1347,22272,0,2.0,1.0,6.0,2971.0
CymChad/BaseRecyclerViewAdapterHelper,1981,22257,191,3.0,1.0,0.0,3931.0
dbeaver/dbeaver,2153,22096,135,5.0,1.0,1.0,369440.0
Netflix/Hystrix,3219,21941,79,2.0,1.0,0.0,62010.0
wuyouzhuguli/SpringAll,1229,21631,0,4.0,1.0,0.0,10936.0
SeleniumHQ/selenium,3163,21630,69,4.0,1.0,0.0,88492.0
hollischuang/toBeTopJavaer,1053,21528,0,,,,0.0
qiurunze123/miaosha,1094,21476,0,3.0,1.0,0.0,8714.0
signalapp/Signal-Android,3559,21108,0,5.0,1.0,0.0,226163.0
alibaba/easyexcel,1314,21081,1,5.0,1.0,1.0,15808.0
seata/seata,989,20767,31,5.0,1.0,3.0,167667.0
alibaba/canal,3164,20453,21,4.0,1.0,1.0,104684.0
dromara/hutool,2709,20384,100,3.0,1.0,1.0,96216.0
alibaba/spring-cloud-alibaba,1381,20058,25,5.0,1.0,0.0,18399.0
google/gson,2369,20026,1,2.0,1.0,0.0,29103.0
apache/kafka,3681,19842,0,4.0,1.0,0.0,364711.0
halo-dev/halo,1271,19699,72,5.0,1.0,0.0,18286.0
ReactiveX/RxAndroid,2581,19498,18,1.0,1.0,0.0,1433.0
alibaba/nacos,1185,19458,41,3.0,1.0,0.0,95810.0
xuxueli/xxl-job,2115,19386,30,3.0,1.0,0.0,8609.0
libgdx/libgdx,3320,18902,8,4.0,1.0,0.0,278033.0
google/ExoPlayer,2648,18242,13,5.0,1.0,0.0,199874.0
square/picasso,3043,18116,7,3.5,1.0,1.0,6818.0
didi/DoraemonKit,1125,17913,5,2.0,1.0,0.0,78174.0
Baseflow/PhotoView,3344,17912,5,3.0,1.0,0.0,1792.0
DrKLO/Telegram,2879,17822,68,4.0,1.0,0.0,880707.0
jenkinsci/jenkins,3947,17815,124,4.0,2.0,0.0,172952.0
apache/skywalking,2136,17705,46,4.0,1.0,0.0,61014.0
redisson/redisson,2801,17351,99,4.0,1.0,0.0,6645.0
bazelbuild/bazel,2649,17303,116,4.0,1.0,0.0,250844.0
alibaba/Sentinel,1257,17287,18,3.0,1.0,0.0,50918.0
apache/flink,2654,17096,0,5.0,1.0,0.0,1030253.0
nostra13/Android-Universal-Image-Loader,3577,16844,0,3.0,1.0,0.5,7434.0
facebook/fresco,2386,16656,44,5.0,1.0,0.0,77878.0
CarGuo/GSYVideoPlayer,1764,16640,26,2.0,1.0,0.0,28394.0
elunez/eladmin,1003,16325,6,4.0,1.0,0.0,7775.0
linlinjava/litemall,1270,16312,8,3.0,1.0,1.0,90770.0
mybatis/mybatis-3,3132,16190,34,2.0,1.0,0.0,52894.0
shuzheng/zheng,1804,16083,0,3.0,1.0,0.0,41742.0
Tencent/tinker,1832,16007,42,3.0,1.0,0.0,38841.0
forezp/SpringCloudLearning,1618,15934,0,4.0,1.0,0.0,3819.0
dianping/cat,3203,15887,0,4.0,1.0,1.0,96693.0
oracle/graal,2068,15882,32,4.0,1.0,1.0,1178103.0
brettwooldridge/HikariCP,2896,15718,0,3.0,1.0,0.0,10542.0
apache/rocketmq,1747,15311,3,3.0,1.0,1.0,91094.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,3214,15144,0,2.0,1.0,0.0,894.0
winterbe/java8-tutorial,2737,15004,0,1.0,1.0,0.0,2081.0
android10/Android-CleanArchitecture,2581,14949,0,4.0,1.0,1.0,2260.0
TeamNewPipe/NewPipe,2201,14923,107,5.0,1.0,1.0,36151.0
openzipkin/zipkin,3385,14697,62,5.0,1.0,1.0,37264.0
apache/shardingsphere,2064,14516,44,5.0,1.0,0.0,115636.0
JeffLi1993/springboot-learning-example,1679,14496,0,3.0,1.0,0.0,2964.0
lottie-react-native/lottie-react-native,1689,14448,3,2.5,1.0,1.0,486.0
LMAX-Exchange/disruptor,3278,14072,12,3.0,1.0,0.0,11971.0
hdodenhof/CircleImageView,2795,14011,0,5.0,2.0,0.0,360.0
lgvalle/Material-Animations,2380,13581,0,2.0,1.0,0.0,1010.0
dyc87112/SpringBoot-Learning,1848,13537,0,4.0,1.0,0.0,4874.0
alibaba/ARouter,1733,13413,16,2.0,1.0,0.0,3165.0
Tencent/QMUI_Android,1605,13155,35,3.0,1.0,0.0,59929.0
orhanobut/logger,2368,12982,16,6.0,1.0,0.0,827.0
Bigkoo/Android-PickerView,2450,12912,0,2.0,1.0,0.0,4421.0
material-components/material-components-android,1742,12798,41,4.0,1.0,1.0,74119.0
Curzibn/Luban,1876,12659,6,1.0,1.0,1.0,1088.0
medcl/elasticsearch-analysis-ik,3558,12640,140,4.5,1.0,1.0,2051.0
iBotPeaches/Apktool,3464,12502,14,4.0,2.0,3.0,11277.0
greenrobot/greenDAO,3613,12427,8,4.0,1.0,1.0,18545.0
prestodb/presto,3321,12405,0,6.0,1.0,1.0,592345.0
Konloch/bytecode-viewer,2525,12402,55,2.0,1.0,0.0,17946.0
Anuken/Mindustry,1596,12376,129,2.0,1.0,0.0,102385.0
eclipse-vertx/vert.x,3740,12357,0,4.0,1.0,1.0,130250.0
facebook/stetho,2425,12354,13,3.0,1.0,0.0,19224.0
android-hacker/VirtualXposed,1381,12265,49,2.0,2.0,0.0,47519.0
eclipse/deeplearning4j,2846,12180,0,7.0,2.0,4.0,493981.0
mockito/mockito,3256,12159,179,2.0,1.0,0.0,47387.0
justauth/JustAuth,955,12144,43,2.0,1.0,6.0,5163.0
daimajia/AndroidSwipeLayout,2575,12126,18,2.0,1.0,0.0,2770.0
zhihu/Matisse,1613,12083,15,5.0,1.0,0.0,3418.0
arduino/Arduino,4013,12044,34,2.0,1.0,0.0,25862.0
apache/hadoop,2572,11935,0,5.0,1.0,0.0,1553872.0
daimajia/AndroidViewAnimations,2638,11925,9,2.0,2.0,0.0,965.0
YunaiV/SpringBoot-Labs,1096,11844,0,4.0,1.0,0.0,25584.0
